,post,age,gender
80,"hMm.... sitting in my rm now... damn bored .. cuz today in school feelin unwell, feel kinda giddy and felt like puking ... damn... wth is happening... Ian approached me today.. asked me hell lot of questions... how m i supposed to reply??? ... quitting is not m decision.. but i dun haf a choice .. do i?? iAn ... iF u r readin tis, i regret to say that i haf already made my decision... or ... my quitting has already been decided... we can still b frens cant we??? hm... great noeing u for the past few months.. den jus now watched sunyanzi de concert vcd... BORING.. but no choice lahx.. buy le mus watch (: i stil ike her as much even after the boring concert.. tink she has become sexier.. wOohOo... okay.. now lets see.. i dunno when tat event happened, but she was my pri school mate last time.. we weren't exactly close.. but the thing is she remembers me and i remember her lo... its fate that brouight us to NY and she has became so pretty... a princess... however, it never occured to me that i actually fell for her, until i cant get her outa my head... tinkin bout her day and night... hoW~~!!! haiz... sian.. the thing is i m not supposed to even tink bout her, much less fall in luv with her... she is not exactly the usual kind of a girl... lets say.. she liks girls... get it?? guess u all noe who she is le ba... hai... CANT hELp fAllin In lOve... ): wishing and hoppin the day will come when she 'wakes up' and we could start a new chapter in our lives... tat's a wish lerhx...",17,male
81,"Okay, well although I have nothing interesting to say... Someone does.        I taste like  Peanut Butter .   I am one of the most blendable flavours; I go with sweet, I go with sour, I go with bland, I go with anything. I am practical and good company, but have something of a tendency to hang around when I'm not wanted, unaware that my presence is not welcome.  What Flavour Are You?      I was looking at Andrew's site and found out what flavour I am. No matter what I did I was always peanut butter. So, figure out what flavour you are too.",25,female
82,"It is funny that you drive on a parkway, and park on a driveway.  Also, I get high on a freeway, but freebase on a highway.  Curious.  Anyway, the Mariners have so much potential.  Promising start last night by rookie Clint Nageotte (pronounced na-zhot) who gave up 0 runs in six innings.  The largest Mariner problem has been synchronizing offense and defense (one has one f, the other has two).  Mariner's starters Joel Pinero and Freddy Garcia each have excellent ERA's, yet abismal records.  Lastly, the Pistons can beat the Lakers, and I see the finals as a tossup.  Anyone that thinks the Lakers are going to coast by anther lame-ass eastern conference team has another thing coming.  That thing is the ridiculously powerful Wallace and Wallace combo, Tayshaun Prince guarding Kobe, and my boy Rip Hamilton who took a page out of Jesse T's book and wears the Hannibal mask on his way to being the Piston's postseason leading scorer.  I prefer my TP hanging under, and I'll fight that to the death with Biblical references to back it up.  Love, Rob  P.S.  To all you concerned little kiddies in blogger land, Mary and I are good friends and remain to be good friends.  Last night we saw the Presidents of The United States of America play the Rose Festival.  I can say with 100% confidence it was the best concert I've ever seen for $5.  Long live Lump, Kitty, Peaches, and The Groovin Postman.",16,male
83,"My family asked me to choose some verses to read at my grandma's mass tomorrow. The priest is going to read the gospel verses and I'm going to read the other ones:   ""Do not let your hearts be troubled. Trust in God; trust also in me. In my Father's house are many rooms; if it were not so, I would have told you. I am going there to prepare a place for you. And if I go and prepare a place for you, I will come back and take you to be with me that you also may be where I am. You know the way to the place where I am going.""  Thomas said to him, ""Lord, we don't know where you are going, so how can we know the way?""  Jesus answered, ""I am the way and the truth and the life. No one comes to the Father except through me. If you really knew me, you would know my Father as well. From now on, you do know him and have seen him.""  -John 14:1-7   Therefore, since we have been justified through faith, we have peace with God through our Lord Jesus Christ, through whom we have gained access by faith into this grace in which we now stand. And we rejoice in the hope of the glory of God. Not only so, but we also rejoice in our sufferings, because we know that suffering produces perseverance; perseverance, character; and character, hope. And hope does not disappoint us, because God has poured out his love into our hearts by the Holy Spirit, whom he has given us.  -Romans 5:1-5   Do you not know? Have you not heard? Has it not been told you from the beginning? Have you not understood since the earth was founded? He sits enthroned above the circle of the earth, and its people are like grasshoppers. He stretches out the heavens like a canopy, and spreads them out like a tent to live in. He brings princes to naught and reduces the rulers of this world to nothing. No sooner are they planted, no sooner are they sown, no sooner do they take root in the ground, than he blows on them and they wither, and a whirlwind sweeps them away like chaff.   ""To whom will you compare me? Or who is my equal?"" says the Holy One.   Lift your eyes and look to the heavens: Who created all these? He who brings out the starry host one by one, and calls them each by name. Because of his great power and mighty strength, not one of them is missing. Why do you say, O Jacob, and complain, O Israel, ""My way is hidden from the Lord; my cause is disregarded by my God""?  Do you not know? Have you not heard? The Lord is the everlasting God, the Creator of the ends of the earth. He will not grow tired or weary, and his understanding no one can fathom. He gives strength to the weary and increases the power of the weak. Even youths grow tired and weary, and young men stumble and fall; but those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.  -Isaiah 40:21-31",25,female
84,"*****  After my book group on Wednesday evening, I received the following message on my voicemail: ""Last week you chose door number 3 but opted out. Better make it this week"". It was TJ MAXX, harassing me about going dancing with him at some new bar-club on Polk. Since I already had plans to take Thursday off, I called him back and told him I'll pick him up at 10:45. Despite my initial hesitation about going and my predictions of spending 3 hours watching scenesters trying to out-cool each other, it turned into an pretty fun night. Me, TJ, TJ's ex MK, JJ Fad's ex and her new girlfriend, all completely smashed and dancing to early 90's hits by such talented singer-songwriters as En Vogue, Digital Underground and Sir Mix-A-Lot as well as some new stuff. I was seeing double by the time we left, so I asked TJ to drive. At his house 15 scary minutes later, he revealed that he, too, was completely wasted and was 'just trying to do what all the other cars were doing'. Thank you lord jesus for getting us safely to TJ's abode. So that was Wednesday.   On Thursday, anticipating a day of much needed rest and relaxation, I drove home, called in sick, and got into my soft warm bed. Ten minutes later, Marcus called and told me to be ready to go to the sweatshop in 45 minutes. Fuck!!, I thought, that's why I took the day off, not to nurse my monster hangover. At the factory, Marcus explained to me how the whole operation works. I tried to pay attention, but all the machines were too intriguing, so every ten minutes I took breaks and ran around the floor. I had to hold myself back from jumping into the enormous piles of felt and cotton scraps on the floor. After that, Marcus got me my very own Costco card and we went out to lunch in chinatown. Then it was time to go to chem class.   It's finally Friday and I'm counting minutes until I can go home and veg out in my pajamas. Mike is back on Sunday. After finishing his scarf, I decided to keep it for myself, so I have to churn out another one by then. In addition to all the other stuff I was planning to get him for christmas but never did. He wrote that he lost weight in the last 6 weeks so maybe I'll roast a chicken on Sunday or something.",26,female
85,"So I didn't make the Fort Worth Youth Orchestra either... and i'm beginning to wonder, if this is what i wanna do, why am i not even good at it now? Like, sure, i'm good at it for my school, but i don't seem to be anywhere else. Does this mean that i'm just not meant to play flute.. cuz i really love doing it. I guess i'll just have to try hard this year.   I took a long nap today and it felt really good, usually i just feel worse when i wake up, but i def. needed this nap today.   Oh yeah, i got yelled at by mason for the first time as section leader today... well, it wasn't me personally being yelled at... but it was exciting! You know, the usual ""flutes aren't counting loud enough"" and something else... hehe...   -Lisa  Song: ""Do You Realise"" - The Flaming Lips",16,female
86,"Bad moment today. We assembled the PC, and discovered we had incompatible memory. I knew this all along, but my dad didnt want to change the memory for the compatible modules. So he's suffering now. Tomorrow, my dad is going to go all the way to London, because he ignored me, and just to buy a floppy drive and replace the memory modules. (We didnt want a floppy drive at first because we have no use for it, but I need it for schoolwork).",17,female
87,"Just kidding. I love Day Camp. Day Camp rockz. I have some friends now. Molly (of course), Amber, Hobbit, and Lindsey. Oh and I think Stephen nd Catherine aer sorta kinda my friends. I get the feeling Ian wants to kill me though. Anyway, Im going to create a new show called ""Everybody loves Stephen"". I might as well. Its true. -.-Anyway. Yeeea. But camp was fun. Yea. Thats all I gotta say.",14,female
88,"Nominees for the  urlLink Academy Awards  and  urlLink Razzie Awards honoring the year's best and worst films, respectivelywere announced today. In light of my horrible Golden Globe predictions, maybe everyone should make their own  urlLink predictions  this time.",16,male
89,"Today was another so-so day.  Still no word on the Food Stamps. I hope it won't be much longer because we are literally eating only once or twice per day until they come in.  Still no word on a job. I have applied at all the places in town that I can. I have a feeling that the only way I am going to find work is to leave Monmouth. I know our car won't make it to Galesburg, but I really need to get there in order to be able to work. I may have to leave this area all together in order to find work :O(  I am working on my smoking habit. I am trying to take my smoking back down to a pack a week like it was before I started smoking so much. I hope to be able to quit all together. I know it won't be easy, but it is costing us too much to support my habit. I just hope I won't turn into a gluttinous pig, well more then I already am :O), when I finally do quit.  Everything is going well on the pen pal front. I have many people writing me now :O) All of them are good people. I love the fact that they are all LGBT! I don't have the usual worries of revealing that I am gay to them.",26,male
90,"Here are some of the better pictures I've taken of Airs on the Mini Ramp at Platt Fields in the last couple of months (I just realised the photos are all pretty much the same). urlLink    Clarky , Hand Burner Air - 16/7/2004  urlLink    NE,Willy Motion Air - 9/6/2004  urlLink    ToGo, 'It's just a bunnyhop, not an air' Air - 9/6/2004",23,male
91,"Bill Gates died and went to heaven.  On arrival, he had to wait in the reception area. This was the size of Queensland, with literally millions of people milling about, living in tents with nothing to do all day. Food and water were being distributed from the backs of trucks; staffers with clipboards battled their way through the crowds. Booze and drugs were being passed around, fights were commonplace. Sanitation conditions were appaling, the whole thing looked like Woodstock gone metastic.  Bill lived in a tent for three weeks until, finally, a staffer approached him - a young man in his late teens with acne scars wearing a blue T - shirt with TEAM PETER written on it.  ""Hello."" said the staffer in a bored, bereaucratic sounding voice. ""My name is Gabriel and I'll be your induction co - ordinator.""  Bill started to ask a question but Gabriel interrupted him. ""No, I'm not the Archangel Gabriel, I'm just a guy from Melbourne named Gabriel. I died in a car crash at the age of 17. Now give me your name, last name first, unless your Chinese, in which case it's first name first.""  ""Gates, Bill""  Gabriel checked his clipboard.  ""Why are all these people here? Where is St Peter? Where are the pearly gates?""  Gabriel ignored his questions until he located his entry on his clipboard. ""It says here you were the president of a large software company. Is that right?""  ""Yes.""  ""Well then, do the maths, chip head. When heaven opened, only 100 people or so died every day. St Peter could handle them all himself, no problems. No there are over 5 billion people on earth. Jesus, when God said go forth and multiply, he didn't mean like rabbits! Now around 10,000 people die every hour, over a quarter of a million people every day. Do you think Peter can meet them all personally?""  ""I guess not.""  ""You guessed right."" So Peter had to franchise the operation. He's now the CEO of Team Peter Enterprises Inc. Just sits in the Corporate Headquarters and sets policy. Franchisees like me handle the actual inductions. Your paperwork seems to be inorder and with a background like yours, you'll be getting a plum job assignment.""  ""Job assignment?""  ""Of course. Did you expect to spend the rest of eternity sitting on your arse and drinking ambrosia? Heavens a big operation. And you have to pull your weight."" Gabriel had Bill sign a form in triplicate, then tore out the middle copy and handed it to him. ""Take this form to Induction Centre 23 and meet up with your Occupational Orientator. His name is Abraham.""  Bill started to ask a question. Gabriel interrupted ""No, he's not that Abraham.""  Gates walked down a long, muddy trail until he came to Induction Centre 23. After a mere six hour wait he met Abraham.  ""Heaven is centuries behind in it's data processing infrastructure."" explained Abraham. Were still doing everything on paper. It takes us a week to process new entries. Your job will be to supervise Heaven's new Data Processing Centre. We're putting in the largest computing facility in the history of creation. Half a million computers connected by a multi segment, fibre optic network, all running into a back end server with one thousand parallel Cyrix CPU's on a two gigabyte channel. Fully fault tolerant. Fully distributed processing. The works!""  ""Wow!"" said Bill. ""What a great job. This really is Heaven!""  Abraham and Bill caught the shuttle bus and went to Heaven's new Data Processing Centre. It was a truly huge facility, 100 times the size of the SCG, with workmen crawling all over it. And in the middle, arranged in huge circles around a massive, house sized mainframe, were half a million computers in neat rows. Half a million.  ""Macintoshes!"" exclaimed Bill, horrified.  ""All running ClarisWorks software. Not a single byte of Microsoft code. "" said Abraham.  The thought of spending the rest of eternity using products hed spent his life trying to destroy was too much for Bill. ""What about PC's?"" he exclaimed. ""What about Windows? What about Excel? What about Word?""  ""This is Heaven"", explained Abraham. We need a computer system that's heavenly to use. If you want to build a data processing centre based on PC's running Windows, then GO TO HELL!""",15,male
92,False start  The Army is reporting that 17 Iraqi soldiers have surrendered to US troops in Kuwait.  They have been turned over to Kuwaiti authorities.,35,male
93,Thug Bear    urlLink   Which Dysfunctional Care Bear Are You?     brought to you by  urlLink Quizilla    I do not understand how I got GAY Bear. But I do understand how Rob got Thug Bear!  NO CHEATING ON THE QUIZ. You are what you are!,40,female
94,"Latest in a series: more free stuff from the Dean.  She's expanded wireless access.  I think I may be the only student here without a wireless card.  But anyway.  She included this message in her e-mail -- which, since I don't have a wireless card doesn't affect me anyway, but:   Second and equally important, students should not use the wireless  network during class unless a professor specifically has authorized such use.  Violation of this rule is harmful to the learning process and disrespectful to both faculty and fellow students.  Except when the professor determines that access to the network will enhance the  educational experience, the classroom is not an appropriate place to make use of network service.  Given the law school's paramount goal of providing the finest possible education to all its students, I cannot stress enough the importance of this restriction. I want to know in what class access to the network will enhance the learning experience.  ""Class, I'm about to ramble on for a while, so this may be a good time to check sports scores or instant message your friend at Yale.""  Eh.  If it cuts down on the amount of ESPN in my peripheral vision, I'll be somewhat pleased.",25,male
95,"Well today is the last day I will be at my parents’ house for quite some time. I am undecided as to when I will be coming back here again. I was thinking I should come up for Christmas- as I have been given that week off work as holiday leave. However, I think it would be way too hot for me to come up at that time of year- in the middle of summer. It was even a bit hot for me to come up this time around- and it is the end of Autumn/beginning of winter! Oh well I will decide something sooner or later. The other option is to come up next August. My partner however in the meantime wants us to go to Bali for a week or so, or somewhere else overseas.   The prices for an overseas holiday are comparable to that of a domestic holiday, so going to either destination is not a problem financially. Perhaps I will go to both- that is, go overseas, and then come up to see my parents in August. I was kind of planning on going somewhere during December anyway in Victoria- provided it is nice and warm- or even to Tasmania. I discovered a tourist brochure for the Spirit of Tasmania, and they were offering 7day holidays, including travel (in which you can take your car for free!) for just over $100. That is an absolute bargain! I will definitely have to go there one of these days as well.   Before that as well, I also have the week of the Melbourne Cup and the Spring Racing Carnival off as holiday leave as well. I am not sure if I will go to the races, or go somewhere in Victoria either. We will see how we go with that. Another factor in all of this as well is that I have an outstanding tax office debt of around $7000- so we’ll see how much they demand to take from my salary each fortnight before I make any further plans about holidays and all that.  Anyway, today I got up at 6:30- and it was nice and sunny again. And as my first day up here, the first thing I felt when I got up was a nice warm breeze blowing over me. I will certainly miss that when I get to Victoria. We never get nice, warm moist winds down there…. Only hot and dry.  I got to the bus stop just before 10am. We got there by taxi. There is something to be said for the lack of hygiene amongst taxi drivers in general (well the ones that I have encountered anyway!), but this one- oh my god…. Let’s just say I was glad to get out of the cab! Anyway at the bus stop I thought I saw someone I went to school with. I did not say hello though. I am a bit silly about things like that. If I am not 100% sure that someone is who I think they are- I will not go up to them at all- for fear of getting it wrong and making a complete idiot of myself. Anyway next time I am up there I will go around town and make sure I say hello. By the way, I am still not 100% sure who that girl was that was talking to me in the shops the other day!  The bus came early, and we got on. I do not mind long bus trips like this, but my mother seems to. We pulled into Airlie Beach and picked up some passengers. It was really nice there- and I was looking at the tourists everywhere along the street. I think it would be cool to just get away by myself for a holiday one of these days. I do not think it would happen though. I would not be able to stay away from my partner for too long (missable!) and I could not come up here for a trip by myself anyway- as my family would want me to come up and visit them as well (and I would want to stay there as well- hey free accommodation!)   After that, we continued our journey south. I read a book that mum had given- Crossing Over by John Edward. It was an interesting read- however I found it to be very similar to watching the television show in parts. I actually do believe in the things he writes about. Call me crazy, but sometimes I do feel as though the presence of those departed are around me. Also, at funerals- I never feel upset. I usually (well ALWAYS) get the feeling that the spirit of the deceased is around me, and that they are very much happier where they are. So I am the one trying to hide my smile when everyone else is upset. I do feel it is inappropriate that I feel strangely happy at funerals for those that die- but the way I see it- they are no longer suffering on earth anymore, and they are much happier where they are now. I don’t think many people understand the way I think about these things- and I know I have offended many as well. But hey- each to their own- I respect the thoughts of others on this matter, and thankfully, most respect mine as well.  Back to the bus trip! We stopped for lunch at some place called Koumala. I wondered if this was some sort of Greek name or is this meant something naughty in another language… probably not I imagined… Koumala is really just a roadhouse with really expensive food in it. I ended up just getting some more lollies to eat. I was not going to pay excessive amounts of money for something that was likely to taste crap.  Back on the bus again, and we passed through some more really really small towns. The landscape did not change much once we passed through Sarina and left the sugar cane country. Near sunset I looked out the window and saw a couple of wild kangaroos. Some of the backpackers on the bus were a bit excited about that!  Then finally, at about 6:15, we pulled into Rockhampton. It was still really warm there, probably mid 20’s. I went to get some milk from Doblos- a local independent retailer. I had wanted to go there because during summer, I saw on  a current affairs show (Today Tonight) that they were offering fuel vouchers (save 10c off per litre) to anyone who bought over $30 worth of goods from their stores. It made the news show because the local Safeway (locally known as Woolworths here) was matching it. (Everywhere else in Australia the discount is 4c per litre). Anyway I was disappointed to learn that the discount here was now only 6cper litre, and only able to be used at local petrol stations. Oh well, next time.  From there we went and visited one of my cousins and had dinner. I don’t know what it is about Queenslanders- but they seem to make interesting interpretations of all sorts of food. This time it was Lemon Chicken, but not how I am used to it in Melbourne. The lemon sauce here seemed to be creamy in texture and looks, and taste. This was something a bit unusual for me, as I am used to the lemon sauce being transparent, and a yellow colour. The rice was much starchier than I am used to as well. I should not bitch about this though, as I used to make food like this as well while I was still living up here. Anyway, because I was so hungry, I had 2 servings.   After that, it was off to my grandparents (otherwise known as ‘the farm’.) I suppose I cannot really call it my grandparents, as my grandfather (on mothers side of the family) died over 7 years ago, and my grandmother lives here with 4 of her sons (my uncles)- who have never permanently moved away (that I am aware of at least!). So I think I will just call it the farm from now onwards.   On the way out, I was absolutely amazed by all the stars I could see in the sky. I had thought I could see a lot of stars from the Western suburbs- but it is nothing compared to what you can see from this part of the world. There was no moon in the sky at all, yet the sky seemed to have a whitish tinge to it- not absolutely black. I could clearly see the milky way- beautiful in its appearance. I thought I could even see the comet that is visiting our skies at the moment! By the time we reached the farm though (just after 10:30pm), I did not wish to go sky gazing anymore. I just wanted to go to bed.   I went straight to bed- without even having a shower or washing my hair. I never do this, especially when my hair has freeze gel through it (and has had it in there all day!) But I was just too tired. Just after 11pm- I closed my eyes and went to sleep.",24,male
96,"so im a child of the 80s..star wars, hippety hops, he man and transformers...not the crappy looking ones they sell now... but it seems old is new now so why not cash in on it right so there fore im waatching starskey and hutch... now according to my mom i used to love this show but i dont rememebr watching it.. i do rememebr watching star wars and space balls and the last unicorn several times at my cousins house when i was little... lots of fond memorys of that house... i always said i was going to end up living in that house...but a couple years ago my aunt mary and uncle john sold it... that makes me sad...other than it being in new york i thought that would have been a great palce for my kids to grow up at... nice neighboor hood huge yard...and a short walk from a rocky beach on the bay...ok now that im down wipping my tears back to starskey and hutch...i really dont rememebr watching it the shows i do rememebr knight rider, happy days, little house on the prarie, charles in charge... but for some reason i dont recall this show from my child hood... but damn if im not sitting here watching the movie...mainly cause i think ben stiller and owen wilson are fucking hillarious and dman its got snoop dog as huggy bear...so i guess ive resulted to the movie execs trying to cash in on the retro craze...but i gotta admit the sweet ass gran they drive id love to have... ok so the last 2 days have been hazy as hell... the first 3 days of this week were absouletly beautiful...i wish i had those days off to enjoy it tommorow i leve to go wiht chris to jasons wedding... im looking foward to it kinnda... its alwyas just well kinnda depressing to go to weddings although im happy for them its the damn why am i here alone...at least at rays wedding there were 3 single guys me and chris go figure and kristis lil brother who is still in high school... when the garder was thrown chris and i pushed him foward and steped back...was some funny shit.. although i talk some shit about it deep down id love to have caught that garter and been the next one to get married and not lonely anymore...LOL will ferral is in this movie funny as always... anywyas the wedding is going to go on but the resption is going to be a hoe down/ lua out... so that should be real interesting...iut is supposed to be a big throw down loads of free booze!!! so should be fun just wish id have a certain someone wiht me to dance with... but she will be there since she is always on my mind... ok so im going to curl up in my bed now and wish i wasnt alone...alica officaly moves out today... not like she was ever here but was nice to have some human contact every now an then..she was a good roomie we had a few disagreements but no big deal she was clean and quiet...so they are moving all her stuff out now so apt is going to look a lil bare and will like more so once i start next week figure its better to get a early start...ok i need my pillow fort so no pic this post so peace love and hair grease im out",27,male
97,"Hmm, Blogger seemed to have updated the GUI once again. Now I don't need to look up the ""img src ="" for images HTML tag again, woohoo! Also, you can change font, but the funny thing is, the default font is Georgia which is my preferred font, so no changes there! I see James has changed to a smaller lighter font, being minimalist again >_>    Haven't got any Flash done today, just couldn't bebothered.I hear James is actually working on hid Flash project... That's good news, no?Note to James: They are NOT eggs! They are  blobs  :) Also noticed the gif image stretched out which screws up the layout. In the future, don't do that, notice that James. Thing is, although I have published the whole blog a million times over, I don't see the changes for at least an hour or two, unlike Life Eh? Which does it immediately :I've actuallygot 1700 frames in the Flash of the movie in the 1st scene. There will be 1 more full scene, and a credits scene and a preloader scene. I also have the basic storylines for the sequels, parts 2  and  3 of the Flash. Pretty l33t, huh?    I'm also thinking for running a Invision board jacked up with some nice cosmetic hacks with Hanadmining it, running for3 sites, Black Ghost Studios [run by Beckett and me], Dragontail's Lair (Build II) [run by Han and me]and dbeckett.co.uk [run by Beckett]. At the moment I'm trying to persuade Fish aka Daniel to do it. He hasn't responded yet):/Once that happens, I'll try to get all 3 sites on a webring. Heheheh }:]    Gotta make most of the l33t idea before Fish says no. Probably. Heh, must plead some more.      Jamie  ,   urlLink Black Ghost Staff",15,male
98,urlLink    Can I ? Should I ? Let The Time Fade All This Unhappiness Away .... Forgetting ..... Created By: SHiRLiN a.k.a LinGfEi On 20th July 2oo4 ......  Posted by  urlLink Hello,15,female
99,"It seems like we are trying really hard to figure out exactly what makes a good community, so I started thinking about Biology again.  In an environmental community, let's say a rotting log, the fungus and animals and bugs are working together differently and perfectly to decompose the wood.  But they have no idea that they are a community because it's us who recognize this by observing them.  So it seems like maybe if we just do what we know best (different talents God has given us) and quit trying so hard, the outside world will be able to observe and define how solid a community we are.",23,female
100,"I can't go without mentioning all the unintentional Matt (Wilson) coverage. I am saddened because Brad looked like shit (and Phil, I believe, even described Brad as being broken). But, so much Matt! I know I'm horrible, really. But I enjoy seeing my favorite cyclist on national TV.  The word of the day is  not  Lance (okay -- it is OLN-wise, but not me-wise), but instead, it's ""ouch."" Tyler, Mario, Bernhard and others. All the different peloton breaks were really interesting to watch. Granted, though, at the end there were only two: the main peloton and Brad and Matt. This is the first time I've seen a tour from the beginning. Before last year, I'd only watched highlights. And then, last year, I started watching on Stage 12.  I do have some complaints about OLN's coverage. With tennis, even ESPN can tell you all the completed matches. But OLN? Apparently they find no need to tell me where all the riders are after each stage. The only way I knew Matt was 181st was because they showed a little (two lines) summary of him while he was helping Brad. Although I know that Matt is probably 187th of 188. And, sadly, Brad is 188th (EDIT: I learned when I finally got home, that Matt was actually 186th and Brad 187th, because poor Nick Gates didn't make the cut.)  Although my TV watching has been split between the Wimbledon finals (Gah. Roger. I wanted Andy to win) and the stage, I fully enjoyed and appreciated the rain-filled racing.   Also, if Al complains one more time about the lack of Lance coverage, I'm going to write an email (EDIT: Oddly enough, he never did). I wish they would show a little more respect for the other 187 riders.   Enough complaining. I truly enjoyed the final sprint. I must admit that I kind of expected Petacchi to win, but it was almost clear that the Fassa Bortolo train was not completely in control and thus didn't allow enough of a leadout for Petacchi.  (Quotes: The virus of cycling - Al. Ride to live, live to ride - Bob)  Other things I liked? The Thor-Tom-Fabian points fight. Jaan Kirsipuu (if only because his name is so much fun to say out loud). All the Matt (sorry Brad). Getting to see April's boys: Hondo and Baden. Fighting-Erik (don't give up, Erik!) Robbie losing (I am evil, I know). And, well, the rain. I'm a sucker for bad weather. I totally enjoy the excitement. Though, after Benhard's crash, I spent a lot of time praying that Matt wouldn't crash.",26,female
101,"Yes, yes, spank away i have not blogged in a few days!  My brother was let off with 1 year prob. and a 500 doller fine. Turns out that his crazy chick was seeing things and he had no gun or anything else! Please hope that i dont see her, shelle be less  than nice. My mom took off to Hardy Arkansas so that when he got out of jail she would not see him. She knows that he would try to come around and she needed a break. Cant say that i blame her much! She will be back in time for my Bar-B-Q.  Speaking of my bar-b-que, i am streching myself to the limit trying to get everything togther and in order for this thing.  I talked to Thomas about it last night when he called, i was saying that i was kinda stressed out about everything that needs to get done. I felt that i did not have enough time to get everything together! And he said "" that is a sign of a good host"". That made me feel so good, because i really never thought that anyone paid any attention. Its the little things, No one ever just stops and says, wow. eh.... mabye i should stop trying so hard to make everything nice.  Today for lunch i went to Kens house to pick up mikas cage, sarah is getting her puppy today and i am letting her borrow it. I am so excited for her, seeing how her other one died. She can crate train this one, like i did mika!  Vehicle Fleet class today!",24,female
102,"WAMP/Virtools  Well I got Apache, MySQL and PHP working here, I also got a nice  urlLink forum  to start with. It is a very simple PHP/MySQl based forum, and so far it is working with a virtools window inside. I just found out that I need to figure out a way to update the browser window without resetting the virtools window. There are two ways I can think of: 1. put the player on a seperate page 2. restore the latest settings on the player everytime the page changes  Since I had admin rights for a short time, I've managed to install some useful applications on my computer to get it a bit more workable, a multi desktop application, which isn't nearly as good as the default X one, let alone my enhanced Gnome one, but it gives my at least some more desktop space.",26,male
103,"Thabo admits defeat on quiet diplomacy  Mbeki  urlLink stated  yesterday that his policy of quiet diplomacy on Zimbabwe has been a failure. Speaking through presidential spokesperson Bheki Khumalo, he said that the talks between the Zanu-PF and MDC were 'too slow' and that no progress had been made on the issue.  However, Mbeki also stated that he would ""press on with his diplomatic efforts in Zimbabwe despite fierce criticism, because he still believed there was no alternative to dialogue."" These is a confusing sentiment. There are many political alternatives to dialogue that include simple public censure and economic pressure.  Mbeki has largely based himself as a foreign policy president, particularly in his first term, and to gain any credibility for NEPAD and his other strong foreign policy initiatives, he must take action on Zimbabwe. After his softening position on AIDS, it is the one factor in his presidency that the world still cannot understand. Struggle friends or not, a dictator is a dictator whatever the historical context, and Mbeki has to show his leadership and take action after this acknolwedgement. Will it happen? Probably not...",27,male
104,"Brainbench welcomes its 5 millionth subscriber by announcing free tests from 1st of july through 14th of july 2004. Well.. it really sounds like MUSIC and that too ROCK MUSIC for the ears of brainbench certification aspirants but wait..... all has got jazzed up. What happens when an apple needs to be shared between 1000s of hungry men? of course everyone is left without a piece of it. Thats what exactly has happned with Brainbench. After announcing the free tests they did not take care for the high availability of the data through their servers. For more than half an hour i tried to just login, forget taking any test.  By the way how much difference does it make if you get these certifications. I and may be the community would like to know any success stories. Please share your comments.  [Resource-Type: Views; Category: General]",25,male
105,"Even though the air in Jerusalem is dry, it is quite heavy. Sometimes you really feel like you can sense the weight of the world on your shoulders. All the holiness, bloodshed, lust, longing, etc. can really get to you.   - My friend Adam Rosenwasser",23,female
106,"there's nothing else more embarassing in life than being sensitive to everything else around you... i wish sometimes i wasn't so sensitive to everything. maybe even a little more thick skinned... hmm...   i keep thinking about what Vicky asked me the other week, ""Are you always so soft-spoken?"" i was rather shocked. soft-spoken?? told Gary and Fairul, they didn't seem to think so! maybe compared to Vicky i am. heh... one thing she pointed out true though, is that i am a passive aggressive person. not good, i know. =P  work has become incredibly insane lately! i'm already all fatigued out from just two months of work. work that i thought i used to love so much. doesn't it mean something when work has become a burden instead of the very thing you used to enjoy? i wonder...  i'm just trying to hold out. maybe it'll settle down more once we deliver the first batch of three episodes.",25,female
107,"Today I had a glass artist over for a firing. It was a good excuse to do some research on fused glass. Mypast attempt at painted,fused, and slumped glass turned out so-so. I have some material already, so it would be nice to learn how to use it properly. She is an older woman, and I had a nice time talking about glasswith her; how she sells her stuff (in Venezuela), and just about life as an artist. I custom programmed my kiln (she usually does it manually). It was interesting to know that you can open a red hot flaming kiln with glass inside with no breakage. I can't wait to see what is inside. Learned about cutting glass, slumping in bisque, applying enamels to gum arabic through a sifter, using elmers glue to stick shards of glass together, using a metallic sharpie to write with on glass, and firing inclusions and dichroic glass. Like to test frit on clay and glass. baking soda makes bubbles between glass (use sparingly).Use of fiber paper vs. kiln wash. slump at a higher temperature and fire paint at a lower temp to keep intensity of color.Use ceramic frames for drop molds (dishes) Cracked bisque works fine as a glass saggar!",38,female
108,"Hey all! How are you? Well, today was pretty good. I went swimming for 3 hours, got a shower, went to see Shrek 2 with Lauren, Brianne, Kristin, Emily, Sarah, and Kendra, and then I came home. Since then, I've been doing absolutely nothing, but I'm ok with that. I'm kinda tired though and my back is killing me, but that's not really anything new. Now, I'm singing Christmas songs to Kendra. Oh, I like this little quote thing       Once in a while,      In the middle of     ordinary life,          Love gives us a     fairy tale.      I just thought that was cute. Ok, well I don't really have much to say. Ok, we're not going swimming. Me, Peter, Kendra, and Stevie..we're not going swimming and I have to say, I'm okay with that. I'd wear my skiing outfit anyways. Aniles? Cafe? Lake? Hmm.. probably. Alright, well I'm done babbling for one night..I'll talk to y'all later. Bye!     love always,       abby",13,female
