heading,post
"
					Loosing a friend to suicide.
				","

							I lost my best friend 9 years ago.. I have never gotten over it... "
"
					Hopelessness
				","

							Ever feel like the world is against you?"
"
					I Hate Myself (21M)
				","

							*This is more of a vent than anything else. "
"
					Such a Loss...
				","

							I just want to say that a member of my profession passed away from suicide."
"
					I'm surprised I'm writing this...
				","

							I'm back at this crossroads. I have been contemplating for a long while now, have for a couple years but for some reason now seems right.  Why do I feel this way? Oh, I guess I've thought this way since I was a pre-teen, then because of my dad and now just not feeling...like I have much of a purpose or significance. I really need help but I can't risk it for work. Just turned 25, celebrating my 2nd year of marriage this week, and for some reason I am horribly depressed when no one is around. I try to force myself around people to stop the thoughts or action of, but even when there is 10 seconds of silence it's pacing in my mind. I don't know whats wrong with me, I need some professional help.


"
"
					I almost put a shotgun to my head today
				","

							about 2 hours ago my friend and I went into the woods and where shooting a shotgun. I never used a gun before this and sure it was fun but the whole time I was thinking about putting it to my head and pulling the trigger. The only thing that stopped me is I never wanted to put my friend through that it was his gun and his idea to go out there and i never wanted him to blame himself for it. But if i was by myself i wouldn't be writing this right now.


"
"
					I want to end it all, i'm sick of being a failure
				","

							Hi guys.  As the thread title states i just can't take being alive anymore and i'm seriously thinking about doing something drastic soon as i am severely fed up of existing."
,"

							I told my boyfriend I wouldn't do it, though, because his friend has an incinerator and I could see them burning my remains so nobody would find out, and then telling my family I just left. I said it half jokingly during a spat, but I honestly fear that is what would likely happen. I took a plane 2,000 miles just 5 weeks ago to be with him, here, only bringing a little luggage. The minute I arrived, meeting him at the bottom of the escalator, he made me late to get my bags, so I had to get them the next day because he wanted a cigarette. The next day, he walked so fast I couldn't keep up. It has been that way ever since. I am on a fixed income. My family is not speaking to me because I came here. I'm a single grandmother. When we arrived at his house, it was filthy beyond your worst nightmare, rivaling only what you would see in the most scary horror film ever. I was so afraid and angry and disgusted. Literally, the walls were covered with these huge spiderwebs from 8 years of neglect. Also, every surface was covered with this layer of black grease coated in what appeared to be hair, but it did not feel organic, so I cried often realizing that I must clean this, but he would not allow it at first. Honestly, I have gotten much of it cleaned and so sterile after just 5 weeks. but, I suffered cough headaches, pain in my right kidney, sinus headaches, nausea, and some was due, in part, to the filthy air quality, while some was due to having to use the strongest chemicals to combat this greasy, furry house mess. Picture the sides of the stove all covered in fur and 2 inches of horrible standing grease and filth on the stovetop. I am 50. I am disabled due to spinal trouble, but I knew if I did not push myself, the stench would kill me. He sits Indian style on his feet, which have turned purple as a result, have small wounds and I feel he is going to become gangrenous if he doesn't address this issue stat! Along with the drinking.   Every day, and the breath from it. Sitting in this manner all these years is the obvious cause of his hunchback. He also has E.D. I made the bedroom sterile and the kitchen and bathroom, as well. Oh. I bought us a memory foam mattress and new sheets. He did not even put sheets on his bed and the pillows and cases were blackened from his hair oil. He almost died 5 years ago. He is so mean, but smiles the whole time. Night after night, rejection. He won't even try. I have no place to go and I don't know anyone. I can't make friends with his people, wouldn't you agree? He needs his own friends and I need to make my own, but I have no transportation. I am so screwed. I am so depressed. I feel sorry for him because he is a monster, but he begs me not to leave, but refuses to show me any affection or to help by at least trying. At the stores he still walks so far ahead of me, and he said I deliberately walk slow ""to impede his auto-pilot."" He has had screaming mad fits at me until I cry and keep begging him to stop. I'm not beautiful anymore. I don't have hope. This feels like a trap. I met him online 2 years ago. I knew by the nature of his profession he could be a very cold person in business but he swore he would never put me through what he has put people through in his business dealings. When I get my little monthly check I wish I could go back to my old town, but my family doesn't want me anymore because I came here. He wants me to pay to have his stove fixed. I just want to save for transportation and get out. He says maybe he can find time for me on Wednesday. Funny how that coincides with me getting my little check. It is only Sunday morning. If I try to speak to him too much he will pop a cork. No one calls. No one answers my calls. No one will talk to me. I am alone with a monster who in some weird way thinks he can treat a woman this way and never visit in the bedroom and she will stay around just because he says he loves her and he thinks we can make this work out. There is so much more to it than this. It's a very sick situation. I cannot adjust. I'm cracking up. I've also got a sprain burning my skin in my upper back from all the housework. I had a multiple vertibrae spinal fusion a couple years ago, I have a fractured tailbone, and I have a hernia above my naval. I'm not strong enough to just 'get out there and get a job' anymore. You see, I would be justified in ending it. I ask myself every day, ""Really? Is this really happening? Where are the hidden cameras? How much does he make on this bet if I stay or leave or end my life, or is this some reality show and some guy is going to jump out and tell me I got punked or maybe this is the ultimate trolling just for the sake of being cruel. His words and actions do not line up. I don't understand what is happening to me anymore. Maybe he is trying to fracture my psyche so he can program me. He admitted he was using neurolinguistic techniques on me when we first met. A friend warned me he was, but, I wonder if he's not just going for the gold and trying to fracture me completely to replicate some stupid Monarch type control? I'm far too intelligent to allow that to happen, but I do feel myself freaking out a few times a day. Sorry. I know this is long. I shouldn't be talking about it, but I kind of have to. As a nam vet once said to me, ""You can't save your a** and save your face at the same time.""


"
"
					I want to drink Anti-Freeze because I deserve to die a painful death
				","

							I am a horrible, terrible person. My ex-wife hates me, and she has good reason to. I was a terrible, abusive husband to her. We would get into arguments where she would hit me and then instead of walking away I would grab her and shake her. "
"
					I don't think I could do it, but I feel like I have no way out.
				","

							I can't believe I'm posting in this forum but I feel like I have hit rock bottom with no way back up. "
"
					I just want to stop living
				","

							TL;DR: I don't want to live anymore"
"
					Suicidal gf, do not love her as I did, will kill herself if I leave her+ more
				","

							From what to start... I am dating one girl for almost half a year now, we never really get along, but we managed to go on, about 2 months back she had to go to other town (we were already living far apart, but now even more), we still were talking through skype/phone with baying apart she started to get more depressive and started to do self harm, she was doing before but I tried to help her, so she was not doing for all the time until that time ~2 months ago, and she started doing it so badly and something broke into me... I was thinking that I was helping her and it all was just even worse so I started to have my own depression, for last 2 months we argued a lot she even blocked me in skype several times, then gone back next day. I turned really bad too, when I have depression I cant do anything, I cant tell anything, do anything, because of that it went to even larger problems, but then we had bigger argument and we did not talk for 2 or 3 days, then kinda started again, then I found out that one of her ""friends"" will be coming over, the things is that  friend was her ex, she did not say me, but she posted it somewhere, so as I saw them talking and clearly she was hitting on him. 2 days after that she started to wrote to me again and later that day she asked if I will love her no matter what, I said ""only thing I would never forgive is cheating"" then after some time same day she told she had sex with her ex, but she resisted and did not want it. The thing is I knew something like that may have happened, because some time back she had one more friend with her who was trying to touch her, but she said no (that is what she told me) even if ""she actually wanted to have sex, but she will wait till we can again"". "
,"

							Ok where to begin. I need to vent. This will be a long one. This will be therapeutic for me."
"
					i want to kill myself. i am not depressed
				","

							I am 22 years old for about 4 years now I feel like I have sort of been waiting around to die. I am not depressed nor sad or suffer a mental illness. I spend a lot of time alone and don't really talk too much. I have told someone whom I trusted at one point and they called me crazy and literally never talked to me again. I don't feel crazy. Maybe its not normal to want to kill yourself but what does it feel like to enjoy life? I do love my family but am I being selfish to think such things? I guess the only reason I haven't done it is cause I'm scared of what happens next. I'm not religious I don't believe in god and quite Frankly this universe is so grand and there are so many people right here on earth its hard to believe we are significant at all. I don't know man. Good bye folks


"
"
					I don't know anymore. Pregnant and depressed
				","

							I am currently 29 weeks pregnant. I have suffered depression throughout my pregnancy and well before I found out that my boyfriend of four years and I are expecting our first child. This pregnancy has been incredibly hard on me, it's been very stressful and it is not what I thought pregnancy would be. I am excited to start this new path but I keep having suicidal thoughts, sometimes multiple times a day. I could never kill myself while I have a baby girl growing inside of me; depending on me. I am only 19 years old and I feel like my world is fading away. I live with my mom, I'm unemployed, and probably going to be homeless soon enough because my mom is unable to pay rent. Although my boyfriends mom has offered us her basement as a temporary place to stay, we are not staying there because I don't feel comfortable in doing so because of my past relationship with his mom. His mom has verbally attacked me on several occasions and I do not want her breathing down my neck 24/7. My boyfriend has an amazing career that pays well but it is not enough for three people to live off of. I feel so useless and helpless. Im basically counting down the days until I can comit suicide and not be anyone's burden. I feel like , making my boyfriend pay for my phone bill, food, necessities, ect, none of that is his responsibility but.. I don't know. He probably just feels sorry for me at this point. Without him paying for the things I need, I would starve our child because my mom can barely afford food. She buys a few things such as bread and milk every few weeks, but there's never a meal made inside of our home. Before I was pregnant I was depressed, because of family issues, and life. I felt like there was no point in living, like life is the ultimate joke. What. Is. The. Point? There is none. I can't wait until this pregnancy is over, everyone will be better off without me. I'm a loser.


"
"
					Donating my life
				","

							I feel hopeless, lonely, empty, sad,...I pushed some of the most important people in my life away, I feel ungrateful of life....I know there is people who is in need of organs donation....but what I want to donate is my life, I don't want to live anymore...I'm tired of thinking...I'm tired of life, anyone know where or how I can donated my life?


"
"
					I don't want to be here anymore
				","

							The month of February my boyfriend left me... And ever since then I wake up everyday wanting to die... I don't attempt it but everyday I wake up angry for having to wake up and continue with a life I no longer want and I try everyday to be positive I don't have any family or friends who I can say I trust or  I can count of financially im struggling because I'm lazy... I have no thrive or motivation.... I not only lost the man I love but also my best friend and all because of my controlling ways... I try to think that this is not the end of my life and I go to the gym and I tryed going to get ready to start school today but guess what just my en luck I come to register and they stole my car.... Yeah way to have a better life I know other people have it worser than me but at the end of the day I'm still suffering in a life I no longer want to live I just want to die already... They stole the one thing I had my car.... I'm en done I rather not live like this anymore


"
"
					done
				","

							i have 3 kids and am a single mom, I've been very depressed lately, I go to bed crying, I wake up crying, I even get up in the middle in the night to cry, I cry in the shower even, I lost my job, I live with a person who is mentally abusing me, he does not work, everything is on my shoulders, I have family but no one to turn to, no one to speak to, I'm overwhelmed and I'm the only person my kids have, if I killed myself they would be the only ones who would care


"
"
					Single mom contemplating suicide
				","

							I'm going to try not to write a book here... I'm 26, single mom of 4, ages 8, 4, 4 and 1. 8 year olds dad is a deadbeat;  other 3 ' dad is a drug addict and currently incarcerated. I'm currently unemployed, as I quit my job to pursue better income in adult entertainment. Due to worsening anxiety,  depression and extreme fatigue I have failed in making much income and we are newly homeless,  living with oldest sons paternal grandparents. I have recently obtained an anti - depressant prescription from gp. I guess that's the basics although there's numerous details and traumas I've experienced that I'd love to add. Basically I have decided if I am unable to provide much for them for Christmas,  I will attempt suicide via overdose and leaving home to guarantee success via hypothermia. As the time grows nearer,  I'm wondering if it makes sense to get help. The only thing is I have no child care in order to go to a psychiatrist/therapist. I've been wondering if I could/should give the kids up to social services until my mind is better and I get a job,  house,  etc. Basically any route I chose at this point hurts them. I have a hard time caring for their basic needs at this point. I believe besides depression and anxiety,  I have bipolar disorder and PTSD (former domestic violence). I don't know where to go,  I have no friends and am already burden enough to my family.


"
"
					Suicide or Divorce
				","

							What is not as hard on kids? I am not suicidal but am completely miserable in my marriage; however, the thought of divorce and not being with my kids devastates me. I fear if we get a divorce my wife would take the kids out of state. She is a stay-at-home mom so I am thinking the courts would side with her. Long story short, what would be ""easier"" on my kids:"
"
					It Isn't Illegal-My Own Personal Hell
				","

							I should have this down pat for as many times as I have repeated this over the phone with law enforcement, but it hurts all the same every time I have to relive it. In fact, saying it doesn't get any easier and I don't know if it ever will. It shouldn't, and I am forced to live with my stupidity. I've accepted this. "
"
					Just tired! Help
				","

							What do I do when things just never ever seem to get better? Suicide seems like the only way to get rid of this deep inner pain I feel. I'm rarely happy or when I am something happens to quickly change that. I've felt like a worthless piece of crap for the past 3 years since my ex cheated and left me. everyone that enters my life leaves it so that makes it even worse. I feel like I am being punished and I should not be living in the first place as I don't know what my purpose is. I  am existing not living. I don't get to travel and go places, I don't have any friends, only my parents. I'm almost out of hope not sure what to do anymore.


"
,"

							I've had this all my life....the times I was able to see a derm they would never recommend accutane......I have the most oily skin on earth and literally get acne and have had acne in ever single part of my body...breakouts can occur literally from one min to the next.....its like im carrying a cross and not being crucified....which is the worst part.....I bleed into bed sheets at night...I have never ending worm like puss come out of my nose every single day of my life ....they sort of regenerate.,..how does one go from being such a beautiful baby with baby skin to this??? and to add insult to injuries i now have scabies was diagnose and they have left behind insane scar bites......I swear i hope I end up on that show 1000 ways to die"
"
					3 deaths and I'm the only one left
				","

							Im 30 now, but I am about to take you back to when I was six because that is where life as I knew it, was blasted away from me."
"
					I'm contemplating suicide again
				","

							I can't understand the meaning of life. Surely it can't be that we wake up; work pay bills then die. Nobody loves me and I don't think that will change. All I have are lots of  people who want to use  me. If I disappeared tomorrow nobody would notice or really care. Sure some people would say ""what a waste"" but they would be fine without me. Probably wouldn't even cry. There's more love here on the Internet than in real life. The bills are ever present and overwhelming. There's no escape. There's no real happiness anywhere. To know you mean nothing to anyone is pretty harsh. I used to believe that it was a sin to kill myself but now I don't know that I believe in God so its less of a deterrent. So I'm lying here in bed thinking about killing myself and not feeling as concerned about it as I think I should. Just very dispassionately and logically about mechanisms.


"
"
					Failed attempt.
				","

							..."
"
					Can't build up enough courage to do it
				","

							I've felt depressed and sometimes suicidal since I was about 13 years old.  My first real attempt was when I was 18.  I took every pill I could find in the house and washed it down with half a bottle of cough syrup.  I recall lying in my bed in a bit of a haze, and I must have lost consciousness.  I vomited at some point in the night, and the attempt ultimately failed and made me quite sick for the next couple weeks.  I've tried several times since then, but there always seems to be some sort of mental block which stops me."
"
					Completely lost my way.
				","

							I have felt terrible agonizing pain for over a year now. My ex of 81/2 years left last April. He started coming around again a few months ago. I thought there was a chance of reconciliation. Now I know I was a fool to ever believe that. He's gone back to ignoring me. He has completely destroyed me. I just found out a few days ago my dads having an affair. In may I tried to kill myself and the feelings have come back ten fold. I've already started planning it out. I'm tired of feeling like this. I just don't see any other way.


"
"
					Where do i start ,,,, i am falling and trying to reach out
				","

							hello there,, "
"
					Overpowering thoughts.
				","

							Recently I cannot help but have thoughts of taking my life, ending my sadness and pain."
"
					This is the end
				","

							I'm done,  I have given myself three weeks to get ready. I will buy a gun, I have to take out 10 pretty girls with me, there will be 10 less Heartbreakers in this world, and I won't have to go through rejection, heartbreak, being ugly, being the ass anymore. And most of all I won't be ass burden to anyone anymore, especially my family who I already know don't like me. This is my notice. If in three weeks you guys find this note, I need you to give the $6500 I saved up to Gabi. She needs it more than I ever did


"
"
					People don't see my life as difficult or hard but i don't want to live any more
				","

							I doubt this will be read. This is the first social anything i have ever done. I like being anti social, the only problem with it is when things get tough i dont have any one to talk to. My life as a dairy farmer, i am in control of the whole running of the property. A contract Milker. The owners are not on the property or hardly around, that is a nice thing, something you dont get too often. When you know you are doing everything you can you don't want the owner looking over your shoulder saying 'Why didnt you tell me about this' when his response would have been to do the action i took. My man of 4 years i met dairy farming for his parents. Before that i was in a stable relationship of 3 years and befreo that, like young and underage, i was promiscuous and a workaholic. I dont even know how to describe how i have gotten where i am. and maybe there is no point and im just writing a piece of crap history in my life that wont help and i just have to keep going? Im afraid of the pain of commiting suicide and im afraid of the person it will hurt. I think i Love him still. but sometimes he is my problem. he is a dairy farmer: contract milker: on the same farm. we are in a contract together making us completely equal. but we are never equal. i hate bagging on him so ill start with the good parts. he is really handy with his hands, like can fix anything (when he wants), if i cant do something ion farm and ask for his help (there might be an argument) but he  can get it finished or help me achieve to get it finished. he is better at curing rotten milk cows than me. and i USE to learn things from him. but 3 years ago when we left his parents farm we went contract milking: he has been dairying since he was born so has more practical knowledge than i will ever gain. and he thought it was the right step. but half way through the year it was me feeding the cows, me making sure the fertilizer was on at the correct time to have feed for the cows, me doing the mating detection to be ready for artificial insemination, me raising the calves, me getting up every morning to make sure everything was working like clockwork. im slightly one of those likes to be organized people. also he inhales the horrible green plant. that i hate with an almighty passion. i think that is what makes him lethargic. anyway im off point i just lose track and mumble. there are so many different issues that have put me into this stage of my life. childhood, adolesence, young adulthood. half my life is over. (ive never planned on getting unmobile: freaks me out) and i cant imagine haviong to go through all this hell twice over just to get my original dieing date. why cant i just go skydiving with a knife and cut the straps after i jump."
"
					I can't live like this anymore I want to take my life
				","

							I just can't handle this any more everyday my body is going through pain and discomfort and nothing I do releases it this causes so my deep depression and have been feeling suicidal of late."
"
					My life is pointless
				","

							Boring job, failed relationships, no friends, no kids, no family, failed attempts at changing my life, 33 years old in a month. Alone. Useless. Pointless."
"
					Can't take being hurt anymore
				","

							I'm tired of people hurting me and leaving me like I'm nothing. I can't be bothered with people anymore I can't be bothered with anything anymore. There is nothing, I wish I wouldn't wake up.


"
"
					I can't
				","

							I have no fight left. I could go on about all the crap thats happened but its irrelevant. For 28 years people have been telling me it will get better but its an empty promise giving me just enough hope to hold on while in reality just dragging me through more misery. I cant escape debt. I cant enjoy life. I have no friends, no family. I'm alone and broke and miserable and i'm starting to realize that my dreams are pointless and ive set myself up for failure. I give up. I'm not doing this anymore. Life is too short to be this miserable. Let me know if you want anything, i'll mail anyone my stuff, its not like ive got anyone else to give it to


"
"
					Ramblings of a depressed girl..
				","

							"
"
					Death Wish
				","

							I think something's wrong with me. I feel like there's so much pressure to be successful, to please others, and please yourself. I'm currently active duty military and taking night classes at the same time. and sometimes I wonder why? it'd be so much easier to just not be alive. to just get hit by a car. or maybe something of valor like dying for my country. I welcome that. I would never take my own life. but death seems like it'd be such a relief. "
"
					Not suicidal but all of my best friends are...
				","

							Today my best friends boyfriend texted me telling me that she was in the hospital and od-ed. She's okay. I feel isolated from her sometimes because she likes on campus at a different college than me but that doesn't hinder our friendship. She only briefly mentioned suicide years ago but I was completely blindsided after hearing this news. "
"
					I feel like a burden to everyone.
				","

							This is probably the first time I have written anything on a forum about this. I know I'm not alone..."
"
					I don't want to live anymore
				","

							I just had my 12th interview in the past 9 months and it went horribly bad.  I can't find a job and it is to the point where I don't want to live anymore.  I have some savings but thats not going to last long.  Then after my savings are gone i will have to sell everything I own and then I guess I have to go on welfare.  "
,"

							I'm struggling internally... a lot. I feel very unstable at times. Will anything ever change? Nothing does. Or it seems like they are but there's backsliding. I feel a strong compulsion at times now to self harm. It's crossed my mind during tough times in the past when I was much younger, but not something I'd seriously try. Not until recently."
"
					please help me! it's urgent!
				","

							She left me. I can't eat. I can't sleep. When I do sleep I have horrible nightmares. I miss her so bad. I just want to die. It doesn't scare me to die. It scares me to live without her. I really am truly considering ending it. I can't see s happy future without her. I just can't stop thinking of her not wanting me. She seems fine. She won't talk to me. She's not with anyone else yet that I know of. How can she just forget all that we had. I know she still loves me but she's convinced herself that I'm not trustworthy. I am though. She won't believe me no matter what I do. I've stopped contacting her but I haven't gone too work. I work alone and it is torture. I just want it to all be over. Please help me see why it's worth suffering through this. I am so alone and sad. I miss her so bad.


"
"
					Escape plan. Help, anyone
				","

							Hi there. "
"
					Feeling Extremely lonely & depressed
				","

							I've really hit rock bottom "
,"

							Hello.."
"
					Done with life
				","

							What's the point of just existing in this world? "
"
					Just sharing a story of suicide and loss - take from it what you will
				","

							A preamble: I'm not here to wax on the morals of self-harm, guilt people into a certain course of action, or provide any sort of spiritual clarity."
"
					Any Moms here?
				","

							Hi everyone, "
"
					Advice on finding purpose
				","

							Hi. So, I don't have social anxieties. Making friends has always been very easy. Girls don't get under my skin because I don't let them get close enough to hurt me. I'm successful at work, although that means I work 18 hour days. But I just don't see the point. Life is a biological process geared towards procreation. Society and culture can butter it up and invent all manner of strategies but we are simple here to fulfill a animal impulse to spread. I do believe in a creator. But that doesn't give me any sense of well being in this current form. I just don't want the life that the modern world offers. What does that leave us? I don't know, but this is all a bit pointless and silly to me. Humans seem so petty and underdeveloped in their desires and emotions. I would truly like to find a cause or position that required me , but without love for the species or desire to add to it. Now what?


"
"
					I'm so done....
				","

							It probably sounds ing stupid. This girl I've know (sort of) since 7th grade (5+ years).... about 8 months ago, she said she had feelings for me. She lives in PA, me in AZ. It built up, until she said ""I love you"".... It felt SO amazing. So, six months ago, she made plans to fly out, and we were going to do a first date, then go to Las Vegas, then sight see in AZ. The first day was a relax day. We cuddled, and watched an entire day of movies, before I took her to a nice restaurant for our first date. At the end of the night, as I agreed, she went to sleep in my room, and I went into my spare bedroom. We hugged, I said ""I love you"" and she said ""I love you too"". "
"
					Feeling numb... my life is falling apart
				","

							I am feeling very low tonight. Things in my life are falling apart... everything. My past has been a mess and it is affecting my now. Family, relationship, work, everything is falling apart. I have no more joy, I am in a very dark depression and no one seems to care... even when I reach out. Funny thing is I fear death, but feel as though I will never get out of this hole I call my life. I guess I just wish the people I cared about cared enough to see the pain I am in, my cries for help but they don't.....


"
"
					Feel so empty... Please help me...
				","

							Please be aware this is may be an essay long..."
"
					Suffering from passive suicidal ideation...what can I do?
				","

							I have been feeling like an emotional mess. I graduated from college and have been unemployed for 6 months - employment is on the cards for me soon hopefully."
"
					Life Going Down everything going wrong and i am badly depressed and desperate.
				","

							Ia m 21 old guy, my life is going wrong, every and all of it... i posted my problems before also in this thread.but they did not help me i am still in darkness. i am a little bit shy guy and socially awkward guy,i dont have friends girlfriend or anyone to share my feelings with.most of the times i stay alone at home.i still cant find a job because my qualifications are very bad and i have failed my exam,so therefore i cant go to nay job...that is the thing that make me most depress,all of my school mates are in jobs now and they spending happy lives,they do have girlfriends and they do have cars so they enjoying life...but i am still at home alone without job girlfriend or any company sitting in front of computer watching porn or staying outside depress."
"
					Everyday is a struggle
				","

							I am such a miserable person. I can't find the joy in anything. No matter how much I try to be normal, there is that quiet voice telling me I am different. Ever since I was a child, I've had depressive moods and emotions. I am highly sensitive and any type of adversity makes me cry or feel overwhelmed. Right now, as an adult, in my mid-20's, I am trying to hold onto a job. The longest I have stayed in a job was 2 months. I am trying to find something I can do, but I just can't relate to people or find myself doing anything. This has been going on for years because I've been depressed all my life. There is something wrong with me, why do I constantly feel this way? My parents told me that I always used to say, ""I can't"" and now I say it again, ""I can't"". Honestly, it feels like I am close to the edge of giving up everything. I just want to be erased and never heard of ever again.


"
"
					Just need a moment...
				","

							Looking for a safe place to express how I feel..."
"
					I want to end my life, alone depressed and desperate...
				","

							i a m a 21 age guy, iam fed up with my life you can see it by  my previous posts. iwant to end my life but i dont know how i should do it,,i ma very alone,my damn parents made me this way... i am stucked in home and jobless,i dont have anyone to text call or even talk with me, i am very depressed about my life i want to  death  and i wish for it every min..... i am very depress becaus e i dont have a job money friends and a gf... iam very dull person...i cant do anything.. i cant think why i live still i tried to change but it didnt work, no girl likes m, i am very dull and boring they only like ssporty type,popular and rich guys, iam just a idiot"
"
					I have tried to kill myself twice
				","

							I have tried to commit suicide numerous times.  I am 23 and i feel like dying.  My mom hates me, my sister only cares about her boyfriend and I am too self-conscience and shy to do change anything.  My dad  was the only one that cared about me and he had  horrible and painful death so every aspect of good in my life got taken away from me.  Every girl I run into is disgusted by me, why should I bother trying this is a cry for help and I don't know where to run.  The doctor prescribe pills but all they do is give me stomach aches and the only thing that makes me feel anything is alcohol.  Please I don't know what to do. I cry myself to sleep every night and I am don't know what to do.  Has anyone been through this before?


"
"
					At what point do you give up asking for help?
				","

							At what point do you give up asking for help? Presumably there's no fix, you either live or die, it doesn't actually matter.


"
"
					I need a Reason to SURVIVE and LIVE
				","

							I was assaulted a year ago and well in order cope with it (b/z the school psychologist sucked) I did everything I wasn't. Joined a sorority, drank, did drugs and my grades spiraled down (mind you I was an A student on a premed track). I met a guy 6 months after the assault, thought I was in love and lost my virginity to him. Yeah dumb move only dated him for what 3 months. Anyways the relationship with the new guy became toxic. Flashbacks came back and I tried to kill myself. I survived and endded up in the psych hospital.  I had a flashback of the assault attacked the new guy and he had me arrested. He said he thought I was gona rape him. Even made a video to show cops. A stay away was issued and well since we still 'loved' each other we talked. Then he disappears and after a week sends and email saying his mom has has spyware installed to monitor him and that if she catches him talking to me she will tell the police and send me to jail. Sounds like crap because hes been chatting up with one of his old friends who tried to break us up in the beginning and whom I specifically said I did not like his association with. He hurt me so much that I just lost it and took some pills again and was hospitalized. I called him from the hospital, left him a message he never got back to me. Apparently in his last email he also mentioned how he was hospitalized cuz he tried to hurt himself. He is going through his own family issues BUT you do not decide to just kill yourself one morning. I know that and I know him. "
"
					End of the Line
				","

							I'm giving up, I'm killing myself. I'm not ashamed to give up because I never signed up for this bull. People are always saying things like: ""well you're not willing to fight"". That's true and I'll admit it. I'm giving up. Life is ing tough and I want out. I'm tired of having to fight myself just to be happy. I'm tired of being in a perpetual state of loneliness. No one loves or wants me, in the true sense. People can say words. I know that because when someone in my ""family"" tells me they love me, I say words back. I know that those words are supposed to be ""I love you too"", so that's what I say. And that's how I know they don't mean it. I've come close to finding love twice, only to have it snatched away from me right when I could taste happiness. I've never needed anything in my life as badly as I've needed someone to love and to be loved back. Of course though, that's only bound to fail and leave me miserable as well. Why? Because I've already put the survival of my happiness (and by extension, me) into two different girls hands, just to have them both crush my heart entirely. Even if I was willing to put everything on the line for a third time, I wouldn't be able to find anyone. I was neglected and abused my entire childhood, which made it impossible to connect with anyone on a real deep level. Despite that, I fought through every bad thought that told me that this was a bad idea and I would get hurt because I knew that what I wanted and needed was for someone to love me. Guess what happened? I got my heart stomped on twice. I even told the second girl about the first and how she treated me. I mean I must have just given her ideas to use against me. The second girl was the one I was closest to and still to this day I can't really shake. She has no idea what she did to me. I say that because she sent me a happy birthday message a couple of months after I was released from a mental hospital. I was in there for an attempt, but she didn't know that. So she sends me some message about how she hopes that this year is the happiest for me and all that bull. Well I snapped. This was the only person I genuinely felt cared for me, but we hadn't really talked since she broke my heart 2 years ago; however, she used to tell me that she still did care for me just not love me. Within that 2 years, I had been steadily circling down the drain (and still am) until I eventually landed in the hospital. Her, she was just casually dating until she found the love of her life and got pregnant. I was aware of this of course and it wasn't a truth that helped my depression. I'd go look at pictures of her on social media and see her post things about her boyfriend like ""he's the most amazing person I've ever met"", "" he's the best person I know"", etc. You know, normal things she would say/should say about her boyfriend. But those are also the things she used to tell me when I was depressed. I can count on one hand the things that people have said to me that made me feel good, happy, whatever, and they all came from her, but now those things don't mean . Mostly because she never meant it with her heart and also because she doesn't mean  to me anymore. So as I said, I snapped. The whole time I'm over here contemplating suicide and reminiscing about how I used to be happy with her, she's over there happier than she's ever been. That's why I just lost it when she told me happy birthday. If I didn't know any better, I'd think that she was just ing with me but no one's that evil. That's just one tiny little reason why I've decided lately to hang myself. And don't give me the whole it's better to have loved bit because I never got to love her or the first girl. The way it worked out both times, I became their best friend and couldn't be any closer to either of them. Was I rewarded with a healthy relationship? No. I was just immediately friend zoned and made to continue missing out on that which humans require most. The first girl's excuse was that I was a pothead atheist. And I  you not, that is exactly what that girl has become now. The second girl's excuse was that her father hated black people so we would ""never have been able to have anything real"". As I said, that's one tiny reason why I'm hanging myself. I can't keep treading water in this hell by myself. I have no one. I called my mom once while I was in the mental hospital. Out of everyone in my family, I'm closest the least to my mom, but I still called her. I only asked her one thing and that was to tell my carpool that I wouldn't be there for a week. That's all I said and that's the only person I talked to the whole time. I just sat there for a week straight, completely alone, crying to myself. I promised myself in there that once I got out, I wouldn't allow myself to continue suffering this lonely existence and I intend to keep that promise. I guess I'm just gonna hang myself with my belt. I've done a few practice runs and have experienced what its like to almost slip into death so I think I'm as ready as I'll ever be. I just wish my life wasn't so that I'll only be found once the smell of death drifts from my room."
"
					I am just done. I Wish I took my life when I had the chance to.
				","

							I really should have. I am done with fighting depression. I really dont know what to say so I will just give a little back story. I am 18 and almost out of high school. Unfortunately this year is my worst year, the only girlfriend I will ever have broke up with me and one of my ""best friends"" ruined every chance I had of getting back to her."
"
					Friend who is suicidal - I have no idea how to help
				","

							A friend of mine that I met in university here has clearly had a difficult past of depression, and known attempts at suicide."
"
					Alone; Wanting Close Friends
				","

							I'm feel so alone right now.  I've been feeling this way for awhile now.  I kept busy and it staved it.  But it returns.  I try to make friends.  But those friends don't care about me.  I want close friends.  I keep trying, but all I can make are casual friends that don't give a rip about me.  This has been happening for long time now.  It has just gotten to the point where I don't know what to do anymore.  My creativity is shot.  My self-image is shot.  I'm discouraged with my ambitions and goals.  I just want connection with others.  I don't have family near me to interact with and who care about me.  I'm tired of superficial friends.


"
"
					I feel very low
				","

							I got laid off a week ago from my job without a reason why. Since then I have been pretty emotional and suicidal but I've managed to keep it private and try to be hopeful about the future."
"
					effects haunting me
				","

							all of my attempts on my life seem to follow me in my thoughts and dreams everyday. Trying to slash my wrists, od or even throw myself into trasffic.. and so on.. although I wanted them to happen at the time I hate reliving them all the time it just makes me more depressed than I am and want to act on them again just to end it.


"
