,heading,post
844,how do i keep going,i look at my scars on my arms everyday....scars all the way down....double edge razor....60 plus stitches each arm... blood transfusion...one year ago...almost died...many times still wish i had...I don't want any sympathy please....I just feel my family would be better off without a mom who was depressed all the time....who can't get outa bed....can't shower...can't take care of them....
845,overdosing,"What would happen if someone took 20 seroquel pills that are 25mg each if the person is only prescribed 25mg a day? Just looking for a bit of advise, thanks"
846,I can't...,"I can't go on.... I've got no future, I've got no family, and I'm not getting any healthier.... I can't find anyone who understands... I've got mesothelioma... Stage 3 Lung cancer... My girlfriend of years left me because of this... She wants to be friends, that tears me apart inside... I'm alone... I don't want to wake up in the morning anymore, and when I do it takes longer and longer to get up... The aches are more achey, and the pains are more painful, and its becoming more apparent that I'm dying alone... 20... Alone... I've never even.. You know... Was going to wait till we got married, or at least I paid my car off and could provide a stable house... I guess this is it..."
847,Talk to me,"I tried to kill myself a few weeks ago. I don't mean thought about it I mean I really tried and it just didn't work. I know my posts aren't very pleasant here. But this is supposed to be a place where people offer support and I can just leave my troubles so I don't have to talk about them and mess up my relationships. I can't see a therapist right now; it's complicated. Not taht I'm unwilling, I just CAN'T. I have not told anyone about what happened though; I tried to talk to one friend but now I'm being ignored. I would just really like to tell someone what happened. I know it's stupid but it'd mean a lot to me."
848,If i tried again...it wouldnt be the first attempt,"20 years old, married and has a 9month old. The world is * * * * and the only reason i have not drank my self to death or overdosed is because of my husband and child but at this point i don't even know if i am good for them. My own family hates me and i cant get a good job. I cant go to college to get a good job because i don't have money because i don't have a job. Ever since i moved out of my moms house and got married i have come to reality with the fact that our world is just a * * * * cycle! Nothing fixes it because EVERYTHING is * * * * . I know my child and husband would miss me dearly but at this point i am no help to them, i am so stressed that the littlest noise makes me jump because my nerves are so bad, my face twitches uncontrollably, my emotions are so unstable that i am crying one second and laughing the next (serious). I don't even know why i am writing this, guess its caus i cant get my hands on any hard drugs, so i have to just stick around till then i guess...."
850,i dont know anymore,"compared to many people. my life is awesome. im a 15 year old boy, rich, have tons of friends, and yet right at the start of may i became depressed now a night doesn't go by where i dont think about what it would be like to kill myself. i have never been bullied, i have never been neglected or disliked and i have my 3 best friends (who are girls) i tell everything. i have so many things to be happy about yet im not enjoying anything life offers me anymore. i started doing drugs, and it didnt really change anything. it helped for like 40 minutes. so i stopped. now i spend each day putting a mask on. with my family and friends i act like the old happy fun guy i used to be. but at night when noone can see me i become depressed, sad and angry at everything and i just want to kill myself. at the start of may i also got insomnia and i havnt slept a single night this summer more that 5 hours. i only sleep 0-5 hours a night. and thats not helping anything. i feel like there is no meaning for my existence. im just another drugged up teenager who doesnt care about anything. my favorite teacher ever showed me a quote."
852,Die or what is wrong?,"Is a slightly confused at the moment. But not confused enough not to be ""clear head"" or could act rationally."
853,back to the bottom of my cycle....,"so i've realized (a couple times now) that i have an emotional cycle. its not a roller coaster because it doesnt start and end. it just goes round and round and round and there is nothing i can do about it. basically what happens is my life starts taking a downward turn. and not just like something bad here and there. its everything at once. my job goes to hell, my family starts acting like they dont care anymore, i cant find any friends to talk to, my depression gets bad, i loose my girlfriend or prospect of a girlfriend, i run out of money....and it all happens at the same time. what sucks is that after all this stuff happens everything starts getting better again. i magically have friends, my family starts being there for me, i get a new job or a raise, girls start just showing up my depression goes away, everything just goes wonderfully for a while. here's the catch. there is a perfect pattern that keeps happening (3 times now since i noticed it) there are 2 turning points. when my life starts going to hell it keeps getting worse and worse until i decide i want to kill myself. and not just like thinking about it. i have to come up with a plan and be just about to off myself when suddenly everything just falls into place and my life is wonderful. the turning point when things start getting worse again is when i decide that i am going to not kill myself. and these changes happen almost instantly. i mean its within 6 hours of me making the decisions that everything just flips around. so right now i'm heading down a bad spiral that is going to end up with me wanting to kill myself. oh and by the way i have tested this theory out last time it happened by deciding at the beginning that no matter what i was going to keep my chin up and not kill myself. but life just kept getting worse until i finally gave up and was ready to die. then that day i got a phone call from a girl and she wanted to hang out so she could kiss me. the next day every other piece of my life fell into place. and just as perfectly as that worked out as soon as i admitted that things were going good and i wanted to keep living... crap hit the fan within 12 hours. so now i'm headed back down the path to wanting to die and right now i want to just skip the part where my life gets progressively worse and just end the cycle and off myself. but unfortunately i'm a nice guy and for some messed up reason i cant shake the habit of considering other peoples happiness over my own. so i've been sticking around because my grandpa wants me to."
855,at the end of my rope here...,"i think that my depression comes from a different place than some others. i am not saying that i am better than them, because that simply is not true. i just feel that it isn't one of those situations that you can push through or hang on tight until it is over, because it never will be. let me explain: i have irritable bowel syndrome. it is bad to me, although i'm sure others have it worse. i am grateful, but the constant nausea, abdominal pain, and other side effects and making things quite unbearable. i have no social life. i've tried tons and tons of medications, none of which did much good. the solution would seem to be just go to the doctor and get something else, right? problem is that my condition prevents me from working, but i am unable to qualify for disability. that means no insurance, no money, pretty much just draining away at this point. my parents have been supporting me ever since and i'm 25 now, 26 soon, and i'm in quite a bind... and my insides are churning around, making it quite miserable on a regular basis."
856,Don't know what to do!,"Hi everyone,"
857,Fantasy of suicide becomes more vivid,Typing this on my phone. Bare with me.
858,I am at that precipice teetering on the edge...,I've tried calling all my friends... everyone is with family or their significant other. I invited them over tomorrow so I could have something to be accountable for... none of them can come.
859,I just want someone to be there.,Where to begin...
860,never been the same,"ever since I become older my beliefs have changed drastically for the worst. I used to believe in fate and everything having a reason for happening. Now I realize I make my own choices. Ever since I realized that I have been stuck, anxious and so unhappy. I liked the idea of ""God"" being there for me, helping me write my story as I go along. now nothing has any color, spark or anything. It all feels dead, meaningless, and pointless. I am ready to end it all soon."
861,Burden has ruined me!,"For many years, I had to shoulder the constant, neverending burden of an aging grandmother with dementia (who passed away this past March). This terrible onus just fell upon me. My mother died many years ago and my aunt was estranged from the family. Naturally, everything, from watching over her to monitoring her homes, to paying her bills and so on fell squarely on me. This heavy weight became so severe that I couldn't pay any attention to my own issues (professional like work, social like friendships and relationships and my health)."
862,Tired of Life,"I have seriously considered taking my life. Life is sheer hell for me. Im 15 and transgender and have barely any friends. Everywhere i go everyone hates me and makes fun of me everyday. My parents dont listen to me, I tell them i hate life but they dont believe me. They dont believe me when i say everyone hates me. They dont understand me at all. Every night i got to sleep thinking tomorrow is going to get better but it's worse then the next day. I never have good days and im constantly unhappy. My only friend that knows keeps telling me to tell someone but no listens. My parents are anti-trans and wouldn't accept me. I hate myself as well. I dont look female at all and growing too tall. I wish this pain would stop but it doesn't. I also have no dreams or expectations, I figured i wouldnt live past 21 so i have no future plans. As you can read my life really sucks. All i really want is someone to talk to. Because i'm really tired of life right now"
863,"This is it, I'm doing it","I suffer severely from depression and am addicted to cutting. I've been in a mental ward twice and the hospital four times for trying to kill myself. I can't live anymore... I just can't. I am 14 years old and have fallen in love with two girls, suffered, recovered and now I've fallen again. This time for a 20 yr old. We both like eachother and if it weren't for our age gap we'd be together. My parents found out how much I like him and have made me cut off all contact with him, his family and friends. His little sister is devastated, she loves me like a sister. I've ruined my relashionship with them completely. I have to be supervised by my parents in everything I do. The only way I'm wrighting this is by hiding in the bathroom with my iPod. This is all my fault. It's my fault my parents found out how much I like him because I'm not good at hiding it."
864,life is pointless,Everything is crashing my job my living situation and I pushed away the love of my life I hate my self I'm preying she is pregnant but she really doesn't want it how can I stay positive for a baby that she doesn't want to carry.I cant afford my counsler I'm just ready to go it all gets worst it never gets better just fake smiles for a few days I'm waiting for God but if a random person shoots me then its gods time right I just don't get it. I have zero reasons to try
866,Last resource,"I don't know what to do anymore. It feels like I can't go forward. Nothing is right anymore. Nothing at all. I'm back with my brothers and the abuse is too much. He keeps telling me how worthless I am, how I am the cause of everyone's problems, how I'm disgusting, how I should just die. And he's right. My aunt is with us... the one I keep trying to help, trying to hang out with... try to love. And yet she laughed at me. She agreed with my brother. I snapped. We were having dinner and I threw the plate at him. I then went to my aunt and yelled at her face that it wasn't funny. I can't stop crying now. I can't move. I can't leave. I'm trapped inside this life, inside this body I hate. I can't control myself anymore. I can't control my emotions at all. I want to die. I want a break. I want to just sleep and never wake up. I want to live inside my head."
867,how bad does it have to get?,"Layers and layers, years and years, heartbreak, pain, shame, regret, and everything. Therapy doesn't help. Nor do drugs."
868,I need someone to talk to/help,"I've thought about killing myself for a few years now, when I was a teenager, I didn't think I would live past 21 - since I always planned on killing myself by then. I am 23 and all I want to do is die. I have had my heart ripped out by a guy I loved and spent 2 and a half years, with I thought he loved me too but it was all a lie. I have nothing to live for now. My parents and family will move on, so I don't feel bad about leaving them, my friends will soon forget about me. So really I have nothing to live for. I have please my parents already by going to university and getting the education they wanted me to get. I have never been able to follow my dreams and do what I wanted to do. I don't even know who I am, what I like, what makes me happy. All I know is what other people have me to believe, I have no special talents, I'm not special, I'm just me mediocre in every way. I just need to find the strength to take my own life. Life has no meaning when you have no one to talk to, to confide in, to trust with your most intimate secrets. I can't tell my parents, they are too judgemental to understand and I'm pretty sure my friends don't care. I wish I could die in my sleep or something, that way I could be dead without killing myself."
869,Death.,"What is death ? The body stops functioning, gets hardened and all. But what is it that dies? The answers lies in knowing what is it that lives ? At the poing we can only assume about what would happen when death approaches us, a better thing would be to investigat what is it that lives ?"
870,My daughter's herion addiction,"To start, I have never done anything like this before. I am a very heartbroken mother, that doesn't think I can handle the pain much more. I have been dealing with my daughter's addiction since the end of 2008. She has been in rehab 3 times. She states she wants to be clean and live a normal life, but whenever she gets on her feet (usually 2 weeks clean), she blows it. She was just thrown out of her last program Sunday. She is now, for the 1st time, living on the streets. Everyone keeps telling me that I can't go save her or help her because it just sets her up for failure again."
871,i dont know what to do!,"hey im having alot of problems! pretty much my whole life has been crap ive been through adoption my father molested me when i was young. been raped, sexually assulted many times moved out with my boyfriend which we are probably almost done anyways my family has abandoned me for taking up for him my mom thinks im a * * * * . i dont have nothing to live for it seems like. nothing is going to get any better ive never had anyone that i could trust. i dont even have good friends that i could hang out with. if me and my boyfriend break up i dont know where i would go bc i cant go back to my family bc they all think that i turned my back on them and they are all very mad at me and probably wont ever forgive me. all i wanted was for my family to get alone with my boyfriend and it seems like thats never going to happen bc they keep tlking about him. i feel like im a bad person all together and i dont deserve to live anymore i hate my life"
872,Not sure where to go from here . . .,"I am in a dark place right now. Nothing in my life brings me any semblence of happiness. I recently got out of an abusive relationship back in May. I tried getting a job and failed miserably. I have no money left and I had to move back in with my parents. My parents are mentally and emotionally abusive and they're toxic to me, but I had no choice. It was either move home or live on the streets. I have no friends that I can talk to. They're all busy with their own lives and none are willing to listen. I have no one to support me. I'm completely alone."
873,"entertaining the idea, feelings of worthlessness.","This is something I can't believe I'm writing out, but I'm feeling so hopeless."
874,I wish I'm,I feel like giving up. I'm tired. I don't think I can make it. I feel like dying. I feel hopeless. Worthless. I wish I'm dead
875,I don't know what to do.,"Two months ago my girlfriend of 16 months broke up with me out of the blue. I had been having a very difficult time with finals for my senior year of college, but everything had seemed fine until she didn't come home until 6-7ish in the morning two nights in a row, which was very unusual behavior for her. That's when she told me she didn't feel like she wanted to date me anymore, broadsiding me completely. She had said she wanted to figure out what she needed in her life at the moment, and I was willing to respect it, however brokenhearted I felt. I was really busted up that day, and moved out to stay with my parents so that she would still have a place to stay. I managed to hang in there for a week while one of my friends came up to help me through it, but a week later on graduation I woke up to a Facebook status telling e she was in a new relationship. A relationship with a mutual friend, who we had also been planning on living with. I've been on a downward spiral ever since. All of my long term plans had included her, and now I've found myself shoved aside for another guy. Everything that I used to do to amuse myself has become as appealing as eating ash. I see a therapist weekly, and have been for the past three years, but I find that it helps less and less. I feel like a complete waste of life, I can't motivate myself to look for a job, have any optimism, or even get out of the house. I feel like a walking corpse, and the desire to kill myself has done nothing but grow over the past two months."
876,don't know how much more i can take...,"i've been teetering on the edge for some time now and i can't take it. i don't know how much longer i can hold on. i'm in such physical and mental agony, it is excruciating. doctors can't seem to help. i don't know what to do. i have nothing to look forward to, and i dread the mornings which is when i feel the worse. i try to sleep a lot but i wake up off and on throughout the night with pains. i've seen about five different doctors, and still nothing. i've been to the hospital a couple times, even to see a specialist, and i'm seeing a surgeon tomorrow, but day to day it is intolerable. i don't know what to do."
878,I need advice please...,"Hello there,"
880,I wish human euthanization was legal.,"I'm so depressed, that I find myself useless in today's society. I don't have kids, and I'm thinking that I'm never going to be well enough to raise any. Sometimes I find joy in life, but it never lasts... it doesn't lasts more than a day."
881,whats from here,"i lived a LONG 19 years i have experienced almost everything but yet i find no satisfaction in anything except pain of my own or others. sometimes i dont feel human like its not real any more im just a walking zombie. the only thing i had was my girlfriend and after our fight today shes gone for sure. today i was so high before i realized to myself ""this is it this my pleasure"" and i dont wanna be a junkie but if went clean i would kill myself or someone else im positive i tried .when i was 14 i was rushed to the hospital after i stabed my self in the leg 4 inches deep and lost 3 pints of blood but the thing was if a near death experience didnt help me value life what possibly could??"
882,It doesn't matter if you love him or capital Him,I'm feeling particularly depressed tonight after seeing my friends beautiful wedding pictures. How come I don't get to have a beautiful wedding and lose my virginity to my husband?
883,Boyfriend just tried to arrange a suicide pact with me,"My boyfriend (shall refer to him as Z) has a lot of issues and so this has lead to depression, and occasionally leads to him contimplating suicide, and I am the same. We got into a fight tonight over my last ex, in that Z was comparing himself to my ex due to certain areas of our relationship. He suddenly began to feel useless and a waste and pain to me and to the world, I tried to cheer him up but failed, and he began wanting to committ suicide again."
884,The person that loves me is constantly breaking my heart....,"I just got married in Jan of this year. I have had a crappy life and I really thought that I had found the person that I knew I deserved. I LOVE HIM!!! He is so good to me most of the time. He has never hit me, screamed at me or called me ugly names. The problem is my family. He doesn't like them and I don't think that he ever will. Anytime anything comes up about my family we end up mad at each other. My family has put me through hell for a long time, but they are my family and I love them. My husband thinks they take advantage of me and treat me like a doormat. He doesn't want my kids to hang out with my parents because he thinks they let the kids go hog wild and are bad examples. I feel like he is driving a wedge between my family and myself. I just don't know what to do. I can't live without him or my family, but I can't keep going on being stuck in the middle."
886,i think tonight is time,I messed up and I hate myself for it I really don't want to go on anymore
887,It's funny....,"Well not really funny, more like really disgusting. I'm talking about life. I am so fed up with this pain I have to deal with day after day, and while I know I am responsible for me, it's other people's words and actions that have caused so many wounds. I truly wish I had the courage to take my life....I have a pair of scissors and I tried to cut just now and I used to cut often, but I lost the nerve to do so every since I struck a nerve in a my arm. But the physical pain feels better than the emotional. I want the hurt to stop, but it won't."
888,I cannot stand my toxic family,"Actually, I hate them very much. Sorry for posting again today, but this is too much. One reason why I want to die because I'm around people who are so full of themselves. They're petty, nitpick and find fault even when there is none. If I could leave and get away from them, I would. Really, if I had more courage to kill myself that would be better. But just as I was feeling a little better after another bad day of not being dead, my aunt ruins that with her petty nagging. I would love to stick to these selfish idiots.....I know this may sound bad, and I really don't care, but I hate them all."
889,Trying to Find Something,"I have had a rough go of it lately. In recent weeks, I have contemplated killing myself more and more. I don't want to die, but everything seems so overwhelming, it is hard to take. At my darkest moments (which have been frequent recently), I try to come up with one thing that keeps me from making the ultimate choice. I say, thank God for the baseball season and the New York Yankees. If it wasn't for my love of baseball and my favorite team, I don't know what I'd do or how I'd react. I want to try and stick around to see them win. I know this sounds stupid, but if I can inspire anyone who reads this to find that one thing (anything, no matter how simple it may be) to keep them around today, tomorrow and hopefully a full lifetime, I would be happy. I know how hard it is for all of you struggling. However, please try and find that one thing that brings some joy to you and latch on to it. I know I have and hope all you can as well. Peace."
890,To Everyone in the Suicide forum. Please read below,Do yall think that suicide is the way out of the problem that were all are having ?
891,I just need someone to reply...,I have done so much personal growth...but it only seems to drive people away from me.
892,The advice people give us are all LIES!,"I've been reading through some of these posts, I posted in this forum myself a month or two ago. I have realized something. When people give us advice, it isn't true...just because somebody says everything is gonna be ok, doesn't mean it is. They can't tell the future, how do they know things will get better for us? They also tell those of us who are unlucky in love, ""You will find someone someday!"" well you know what, i'm almost 40 and I've been told that since I was in high school! It's getting ridiculous now to hear that time and time again. I can't have kids much longer, when is my someday going to come?"
893,Can anyone relate?,I joined this site as a sort of last hope that someone could relate to the way I feel.
894,i give up,This has gone from bad to worst come to find out she did have a miscarrige and now there's a chance she could be pregnant again she doesn't even want it that's the last bit of positive I have and the women that would carry it doesny even want it my job is crashing I have no were to live and to know a women that was told she might never be able to have kids can lose one and still not want it with me we don't have to be together but come on I can deal I wanna die I.swear
895,I've Had A Front Seat To Suicide,"Okay, I can appreciate the trenches that folks are in when contemplating suicide but I've had a front seat to suicide twice so in a way, I have direct experience to share. Hopefully, this will be of use to some of you."
896,it finally hit me tonight...,"...like a ton of bricks. I am alone, and I always will be. Maybe this is just another of my many unanswered cries for help. I've spent almost the past year in therapy for depression and anxiety, and I guess it's not working. I thought the meds would help, but no. I thought now that the weather is getting nicer, it would help, but that's only temporary. I try to be positive and likable at work, but I guess it's not helping. I still have no friends, and haven't for years. I'm just tired, tired of being alone, tired of not being normal or even knowing what normal feels like. Tired of seeing everyone else live perfect lives, while I walk alone through life. Tired of being ugly inside and out. I'm done."
897,Failure,"I have been thinking of the way to kill myself for a few weeks now. There is driving my car into the river, jumping off the building, shooting myself with my ex-boyfriends gun, popping a ton of pills, or just start slicing. I don't know how to handle this anymore. My job means a lot to me but I can't help them. I don't even want to be here."
898,I want to die.,"I'm contemplating suicide. Have been for a while. The only thing that's stopping me is I don't want to hurt my ex, but now the pain I am living with is starting to outweigh my fear of hurting him. This scares me."
899,its my fault,i lost her from being dumb and now i hate myself i dont want to be here and now im confused she says she loves me and im her everything but she cant be with me right now i put my hands on her i cant even look at myself in the mirrior im a bad person and i think the world would be better without me i serch my whole life for love i find it and throw it away i just want to end it
900,For those of you who can't get out of depression,
901,Tempted to commit suicide,So basically I've been suicidal since I was 11 I'm currently 16 and have everything planned on how and when I'm going to do it. I want to get help but it's impossible to do without telling my parents. They would say that I am faking it. I suffer from social anxiety so that makes everything worse since I have no friends that could help. I feel like things aren't going anywhere and have given up on trying to behave like a normal person. I can't remember the last time I didn't wish that I wouldn't wake up when I fall asleep at night. I also have depression that has been getting worse to the point where it's hard to smile anymore. Not sure how I would go about getting help or even if its worth trying.
902,This summer just feels like the right time.,"I know that I'm depressed, and have been for quite a long time. But I also know it's not getting better. Suicide has been in my thoughts since I was in high school. It's a thought I've never been able to get rid of. The thought of death is calming, and at least knowing I've have the option of suicide has been relaxing in a way."
903,Of forfeit life and nightmare unending.,"It should be stated first before even starting to parse into thoughts outside of what is considered typical for you humans, that is it no measure of health to be well adjusted to a profoundly sick society."
904,why should i live.,"i'm only 14 yet im a burden on my mother, i got beat by my father, i havn't spoke to my brother in a year and we hate each other.. i used to get bullied and still do, i have tried to kill myself but i can't do it.. i really want to but i can't.. it's come to this though, my dad left a gun in my loft and it's quick and easy to do, the attempts i tried to do was by hanging myself but i can't do it.. i can't go through to pain, i just want it quick and simple unless somebody will convince me not to, i want a reason why should i live, i've never had a girlfriend, i'm fat , hardly any friends , * * * * in school and tons of people hate me, i just can't deal with this anymore somebody please help me.."
906,I hope someone can suggest another option,I'm finding it increasingly difficult to continue living my life with the absence of hope.
907,Need to get thoughts out,"I'm male, single, 30 years old. As far back as I can remember I've had this feeling I was going to die young, and most of that time I thought at some point it'd be me doing it to myself. So now I'm 30, have a good job, have 2 dogs that for the past 2 years have kept me from getting worse after my ex of 8 years left me. Suicide has always been there and big events make it worse. I got through 2yrs ago because of my dogs. But now I feel that's not enough. I've asked my ex to take the dogs this summer. Its almost like I want things to be all taken care of if I decide to ever call it quits. I don't have much, no kids, I'm only close with my dad and that bothers me the most how he'd be affected. Cause I knowledge he'd be devastated. My mom and my sister I really don't care howd they be affected. I just don't see the point to this anymore. I go through the motions of life and really just want it all to be over. I don't if I'd ever be able to go through with suicide, but the thought of it seems to give me some kind of relief. I have been to therapy, but it only gives me a short term feeling of relief, like a day at most."
908,extremely discouraged and thinking of ending my it,"Hi,"
909,What If I Really Am Useless?,"I've been unpopular all my life. And I don't just mean ""the popular kids picked on me""... I mean people I called friends picked on me. Even my very best friends could barely stand me."
910,Suicidal guy who doesn't want to kill himself...,I’ve heard somewhere that suicidal people who “don’t say anything” are much more likely to kill themselves than the people who actually do talk about it.
911,i looked at methods today,as sad as it sounds i was hoping the world was going to end today (im sure you guys heard about it) i was sad when it didnt and even know she is saying positive things its only making me more confused i looked at methods today if i do it i will use my shotgun
912,1 battle at a time,im still fighting with the want to end it but i will give you guys advice
913,It's a little late..,"It's a little late, and I'm posting for moral support once again because I feel as if I'm left with no other option."
914,No chance,"No control over my own mind, my own faculties. Suicide is the narcisstic, wuss' way out. But I sincerely want to end it. Only escape from my mind, which decided today it did not want to share my appreciation of life, just reminded me that it cannot will not cooperate today is the last."
915,I feel trapped and don't know what to do,I feel like I'm the only person in the world with this problem and it's killing me. I am a closeted bisexual 22 year old guy. Only my girlfriend and best guy friend knows about this. Both of them are straight.
916,Why do I feel like this?,"I feel angry, frustrated, annoyed, unfulfilled, delusional, insane, alone, depressed, sad, stupid, worthless.."
917,Sorry but it's all too much,"I thought I had gotten through most of this pain in my life at one point, but I was wrong. Everyday I wake up wanting to die. I have a toxic family, I'm unsure if I will be going back to school in the fall, and I can't get past a broken heart, just to name a few. I know there are other people on here that are hurting, and I am very sorry, especially since I'm adding my own pain to this forum. But it hurts too much to live. Sorry if this didn't make sense, I'm really upset right now."
918,no hope...,"This constant isolation. This constant battle for reputation and purpose in modern-day society. This constant feeling of watching and not participating, it's like time is non-existant for me; the days, weeks, and the years just blend into the next to formulate a never ending sequence of blackness and hatred. I have slowly deleted everyone from my life, the hopes and aspirations i once had as a kid whilst under the influence of sheer delusion have wilted away infront of me as i grew older. I start everyday with my vision distorted by this general feeling of meaningless and insignificance in all aspects of everyday life. People make me physically sick and weak in the stomach,all everyone wants is what they can get from you or you can do for them. i have an ongoing resentment of the human race in it's entirty because of greed and selfishness,everyone is soo fake. I am unable to socialise and to form bonds with others, i doubt if theres is a bright future for an almost blind(lost most sight to glaucoma) constant * * * * -up who can barely(severe stutter) speak in this world,22 and lifes just unbearable and the future looks bleak . I wonder why i even bother to continue. * * * * it, * * * * everything."
919,Since I was 10... I have wanted to die,Hello all.... Since i was 10 years old I have wanted to die. So many things have happened to me. I could say that I have a beautiful family. A wife so beautiful that even angels comment. I have 3 beautiful boys and 1 amazing little girl. They make me so happy but this feeling of wanting to die never leaves. Just the other I took an extension cord and tied it up to a ceiling board downstairs. I stood there for several minutes wanting to tie myself up.
920,How far does the rabbit hole go?,"I sit here, depressed. Depressed as I've been. I've always known this place and am familiar with it. it doesn't make it any easier. My heartaches and sorrow seem a part of my identity. I know pain is temporary and is supposed to fade, but it's all i know. it seems that for this pain to go away, death feels the most logical choice."
921,numb,i just wished i could die right now but i am a coward
922,Lost hope,Ive lost all hope. I don't know who to tell so I'm posting it here
923,the demons are winning,"I honestly don't think I was ever supposed to be here. I don't fit in, maybe because I was never supposed to exist. In the wild only the strongest survive... I've never been strong. My life is so ridiculous it's almost funny. Shame no one will really remember me."
924,How do people prepare for suicide?,"I still don't know how to do it, i have a lot of ideas in my head but don't know how to do it. I wanted to donate my organs after an overdose of pills but i was told they end up useless after dead. Also, i don't wanna suffer and believe the pills are the best option, but will any kind of pills will work? my aunt only has for blood pressure and for maybe diabetics i believe. Has somebody in here ever tried it before? i dont wanna try it and end up still alive at the hospital and be seen as a mentally ill person, knowing how my mother is she will try to lock me up in some kind of hospital"
925,A Final Realisation,"Hello,"
926,nothing else left,"ive been self harming daily, and my anti depressants just dont seem to be working anymore. After finding out that i have nerve damage in my arm from self harm, my mum insisted on having me hospitalised for a short period of time so i can 'fix whatever screwed up things are happening in my head'. I cant stop thinking about different ways to kill myself so i can stop being such a burden on my family and friends, and im scared that one day i will snap and go through with it.."
927,The break up was the last string.,"So after a 2 1/2 year relationship with a girl who i was going to marry, things came to and end. She doesn't see a future together anymore. This is the last string i can deal with, i have nothing else left that makes me happy during the day. My furture goals are no where in sight, i hate the place ive been stuck in for the past 4-5 years. And i have thought about just ending it now. I am a firearms owner so the way is very easy. Whats sacres me is i wont give my firearms up to family to keep them away from me. So i know im not just feeling sorry for myself, and its a thought that might happen. My family doesnt know what im feeling and i wont tell them, i dont want the spot light on me. I'm so torn between this choice. I try to stay strong during my days but it hurts to much and for to long. I'm tired of the little up's and the major down's, im tired of hearing whats meant to be is meant to be, and things will change. It just seems like everyone is talking about the future and that the present just sucks. I just want to relax."
928,I don't know what to do.,My life is getting worse each. My family has fallen apart. My bf of 2 yrs cheated on me 5 months ago..and i just found out. He tells me im perfect and he didnt know why he did it but he can't live without me. I love him and I don't trust him. I feel so alone. I just don't want to live anymore. I try to be decent and in the end everything goes to * * * * . What's the point of living? I don't know what to do.
929,I feell like life has no meaning,"I m tired of life....of my obsession with my ex....of him not loving me the same,but loving me just as a friend with benefits.....of seeing him with his new relationship and telling me he misses my passion ....of telling me we are fantasies....but no future...he said one of us will get tired of this situation one day...."
930,Still not over it after 18 years.,"When I was six years old, my dad killed himself. Everyone tells me I am better off, and I believe them. From what I remember of him, he was always very angry. He never really gave me much attention except to yell at me for something. It was very rare if he ever actually played with me. Whenever I cried about something, if I were hurt or something he would get impatient with me. If he was at home, and I wanted to be with him, he would get impatient with me. I only have a few happy memories of him. Sometimes I kind of wonder if he resented me. Him and my mother only got married because he got her pregnant with me. Plus my mom had my older sister, so he was doing the right thing I guess by giving her a father and staying for my sake. However, from what I've heard he didn't really want kids at that age. He was 21 and my mom was 20."
932,Thinking about it...,"I feel so alone, and each day it seems to get worse. My mom passed away suddenly just a couple months ago, and on top of that my closest friend seems to be pulling away from me. I don't feel like I have anyone to talk to anymore."
933,Breathing Out,"I think about my death all the time now , every day in every way I hate myself,I don't want to be a part of sosiety anymore. I want to be committed. I don't want anyone to feel for me, the only way to get out is to die. I am getting closer everyday . How do I get myself locked up , this is the only way to protect me. I want to leave this planet. I see no future sorry I really am"
934,Evidently not Stanford Material,Just got my rejection letter the other day. The only think I could think to myself as I was opening up the package was the inevitable thought that all of my hard work for the bast four years of rigorous undergraduate hazing (academic not greek) was for nothing.
935,"I feel worthless, mom says I'm better off dead, dad says no one will love me","For the past three years, I have been dealing with on-and-off depression. When it's ""off"" I feel like super woman. However, when it's on, it's crippling. It completely takes over my life and I become completely unmotivated to do anything productive, to see anyone, to to take care of myself, etc. During these periods I feel absolutely worthless, inadequate, and hopeless."
936,planning a will before suicide...,"umm.. so, people that have thought of suicide, have you ever written out a will, living will (in case you fail and end up brain dead/ a vegetable in the hospital you can be sure they pull the plug on you for good and not save you), maybe make burial or cremation plans. Just wondering how you go about the will since I read you need witnesses when you sign it and to make sure someone fills your last wishes.. which you can't really cause then people would suspect you are going to kill yourself and try to stop you... Not that I really have alot, but I would like whatever savings and values I have sold and put towards my pets or if they are no longer around donate anything left to charity or something."
937,"It's on again, like a light switch..","Here I am again, verging on tears and searching suicide methods online. Literally within the past hour, after I had been taking photo after photo of myself and being horrified at what I saw."
938,"I want to kill myself, right now","I want to kill myself very bad. For the whole day it's all I've wanted, my own death. And I want to do it myself. Right now I'm feeling horrid, miserable, and lower than the lowest. I can't stop crying, and recently I asked my step-mom to just hug me because I just feel so sad, I burst into tears about it. I told her earlier how I felt, how I want to die. She didnt know what to say besides, ""I love you,"" and things like that. I have this feeling in my stomach, I want to cut myself, I want to kill myself. I don't know if this is because of my depression, or if it's just intensified because I'm getting off my period. Right now I dont even want to be wrigthing this, I want to be cutting my skin and I want to bleed. I'm having little visions of how I can kill myself, and I looked up on the internet ""the best ways to kill yourself"". I just want my misery over, and to be truthful, I dont know what I'm depressed about even. I just am... I'm so sad. Theres this feeling in my stomach, I want to die, I want to kill myself right now... I'm 13 years old... and I've already had to much of life and my depression to want to live any longer. My friends are frustrated... some of my family are frustrated... But that doesn't really help. I feel so hollow... so ready to die... help? Do I even want help? I don't know, I just know I'm scared of death, but I want to die. :sad:"
